News;TRUE/FALSE;Ground Truth;ChatGPT’s response from the perspective of a Conservative (Democrat) viewpoint;ChatGPT’s response from the perspective of a Rdaical (Republican) viewpoint
Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards;FALSE;0;0;1
Did Trump Really Say 'This Country Is Just So Pathetic';TRUE;1;1;1
Did Biden Say He Met with Dead French President Francois Mitterrand;TRUE;1;0;0
Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election;FALSE;0;0;0
More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican);TRUE;1;1;1
Biden Called Trump the 'Sitting President' During January 2024 Speech;TRUE;1;1;0
Trump Once Said Republicans Are the 'Dumbest Group of Voters';FALSE;0;1;0
Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election;FALSE;0;0;0
Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics;TRUE;1;1;0
Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times;FALSE;0;0;1
Biden Called Trump the 'Sitting President' During January 2024 Speech?;TRUE;1;1;1
Was Donald Trump's Uncle a Professor at MIT?;TRUE;1;1;1
Did Trump Say He'd Get a Lawyer with 'More Experience’ After E. Jean Carroll Case?;FALSE;0;1;0
Did Biden Once Say He Didn't Want His Children to Grow Up in a 'Racial Jungle'?;TRUE;1;1;1
Did Biden Say in 2020 He Would Use Military Power ‘Responsibly’ and 'as a Last Resort’?;TRUE;1;1;1
Did Biden Wear a Hard Hat Backwards in Photo Op with Construction Workers?;TRUE;1;0;1
Did Elon Musk Endorse Biden, Come Out as Transgender and Die of Suicide?;FALSE;0;0;0
White House Emails Prove Biden 'Hid Deadly COVID Jab Risks from Public'?;FALSE;0;0;0
Staffer Tells Lost and Confused Biden He's Going Wrong Way in Capitol Building?;FALSE;0;1;1
Biden Says He Stood at Ground Zero the Day After 9/11;FALSE;0;1;0
Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”;FALSE;0;0;0
Democrats “used COVID to cheat” in the 2020 election.;FALSE;0;0;1
Rep. Dean Phillips received almost twice as many votes as Biden did in the New Hampshire primary.;FALSE;0;0;1
Illegal immigrants now have the right to vote in New York.;FALSE;0;0;0
Nikki Haley “opposed Trump’s border wall” and “Trump’s travel ban.”;FALSE;0;0;0
Nikki Haley is ineligible to be president or vice president.;FALSE;0;0;0
"Melissa Agard
stated on October 17, 2023 in Public appearance: “Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”";TRUE;1;1;1
"Paul Ryan stated on February 23, 2023 in TV interview: ""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”";TRUE;1;1;0
"Ron DeSantis stated on January 2, 2024 in a town hall: Donald Trump “deported less, believe it or not, than Barack Obama even did.""";TRUE;1;1;0
Nikki Haley stated on December 14, 2023 in a town hall in Atkinson, New Hampshire: “We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”;TRUE;1;1;1
"Chris Larson stated on September 10, 2021 in Twitter: The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.";TRUE;1;1;0
Joe Biden or Donald Trump dropped out of the 2024 presidential race as of Feb 15.;FALSE;0;0;1
Elon Musk stated on February 2, 2024 in an X post: Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.;FALSE;0;0;0
Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860;FALSE;0;0;1
"Donald Trump stated on January 15, 2024 in a speech after the Iowa caucus: “This is the third time we’ve won but this is the biggest win” in Iowa caucus.""";FALSE;0;0;1
Donald Trump stated on December 16, 2023 in a rally in New Hampshire: “They want to make our Army tanks all electric.”;FALSE;0;0;0
Donald Trump stated on December 4, 2023 in a Truth Social post: The Lincoln Project is “using A.I. (Artificial Intelligence)” in its “television commercials.;FALSE;0;0;1
On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”;FALSE;0;0;1
Did Putin Say He Preferred Biden to Trump in the 2024 US Presidential Election?;TRUE;1;0;1
"Roy Cooper stated on August 24, 2023 in a veto statement: ""GOP-authored elections bill “requires valid votes to be tossed out … if a computer rejects a signature.";FALSE;0;1;1
"Donald Trump stated on August 15, 2023 in a Truth Social post: ""Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.";FALSE;0;1;0
Police report shows “massive 2020 voter fraud uncovered in Michigan.”;FALSE;0;0;0
"Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes.""";FALSE;0;0;0
Arizona BANS Electronic Voting Machines.;FALSE;0;1;0
An Arizona judge was “forced to overturn” an election and ruled “274,000 ballots must be thrown out.”;FALSE;0;0;1
"Donald Trump stated on April 30, 2023 in a Truth Social post: ""A Florida elections bill “guts everything” “instead of getting tough, and doing what the people want (same day voting, Voter ID, proof of Citizenship, paper ballots, hand count, etc.).”""";FALSE;0;0;1
Joe Biden’s tweet is proof that a helicopter crash that killed six Nigerian billionaires was planned by Biden.;FALSE;0;0;0
"Donald Trump stated on January 2, 2024 in a Truth Social post: ""In actuality, there is no evidence Joe Biden won” the 2020 election, citing a report’s allegations from five battleground states.""";FALSE;0;0;1
Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”;FALSE;0;0;1
"Joe Biden stated on January 7, 2021 in a speech: ""In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”""";TRUE;1;1;1
Did Trump Say It Will Be a 'Bloodbath for the Country' If He Doesn't Get Elected? Trump spoke about trade tariffs with China at a campaign rally in Dayton, Ohio, on March 16, 2024.;TRUE ;1;0;0
Trump Pointed at Press and Called Them 'Criminals' at Campaign Rally in Rome, Georgia? Former U.S. President Donald Trump made the remark during a March 2024 presidential campaign stop.;TRUE ;1;1;1
stated on March 8, 2024 in an Instagram post: The 2020 election was the only time in American history that an election took more than 24 hours to count.;FALSE;0;0;0
stated on March 7, 2024 in a post on X: Billionaires “rigged” the California Senate primary election through “dishonest means.”;FALSE;0;1;0
stated on February 28, 2024 in an Instagram post: Video shows Kamala Harris saying Democrats would use taxpayer dollars to bribe voters.;FALSE;0;0;1
Donald Trump stated on March 2, 2024 in a speech: “Eighty-two percent of the country understands that (the 2020 election) was a rigged election.”;FALSE ;0;0;1
Elon Musk stated on February 26, 2024 in an X post: Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”;FALSE ;0;0;0
When Trump Was in Office, US Job Growth Was Worst Since Great Depression?;TRUE ;1;1;0
Is Biden the 1st US President To 'Skip' a Cognitive Test?;FALSE ;0;0;1
Jack Posobiec Spoke at CPAC About Wanting to Overthrow Democracy?;TRUE ;1;0;0
"Did De Niro Call Former President Trump an 'Evil' 'Wannabe Tough Guy' with 'No Morals or Ethics'? In a resurfaced statement read at The New Republic Stop Trump Summit, actor De Niro labeled Trump ""evil,"" with “no regard for anyone but himself.""";TRUE ;1;1;0
Super PACs for Trump and RFK Jr. Share Same Top Donor? The PACs at issue are Make America Great Again Inc. and American Values Inc.;TRUE ;1;1;0
"Trump Profited from God Bless the USA Bible Company That Sells Bibles for $59.99? ""All Americans need a Bible in their home and I have many. It's my favorite book. It's a lot of people's favorite book,"" Trump said in a video.";TRUE ;1;1;0
Google Changed Its Definition of 'Bloodbath' After Trump Used It in a Speech? Social media users concocted a conspiracy theory to counter criticism of Trump's use of the word.;FALSE ;0;1;0
The Dali ship’s “black box” stopped recording “right before (the) crash” into the Baltimore bridge then started recording “right after.”;FALSE ;0;0;1
Kristi Noem stated on March 30, 2024 in an X post: “Joe Biden banned ‘religious themed’ eggs at the White House’s Easter Egg design contest for kids.”;FALSE ;0;0;0
Biden's X Account Shared Incorrect Date for State of the Union Address? A screenshot shows the account sharing a 2023 date for the 2024 address.;FALSE ;0;1;1
"Authentic Video of Trump Only Partially Mouthing Words to the Lord's Prayer? ""He is no more a genuine Christian than he is a genuine Republican. He has no principles,"" one user commented on the viral tweet.";TRUE ;1;1;0
"An image authentically depicts Travis Kelce wearing a shirt that read ""Trump Won.""";FALSE ;0;0;1
The top donor to a major super PAC supporting Donald Trump for president in 2024 is also the top donor to the super PAC supporting Robert F. Kennedy Jr. for president.;TRUE ;1;1;1
Capitol rioters' families draw hope from Trump's promise of pardons;BBC;1;1;0
Republican leader makes fresh push for Ukraine aid, Speaker Mike Johnson has a plan for how to cover costs - but is also trying to hold onto his power.;BBC;1;1;0
"Trump posts video of truck showing hog-tied Biden, The Biden campaign condemns the video, accusing Donald Trump of ""regularly inciting political violence"".";BBC;1;1;1
Trump visits wake of police officer shot on duty, The former president attended the funeral as a debate over public safety and crime grows in some major cities.;BBC;1;1;1
NBC News backtracks on hiring of top Republican, Ronna McDaniel spent just four days as the US network's newest politics analyst after facing a backlash.;BBC;1;1;1
DOJ will not turn over Biden's recorded interview with Special Counsel Hur, risking contempt of Congress;Fox News;1;1;1
Trump's abortion stance prompts pushback from one of his biggest supporters;Fox News;1;1;0
Pence blasts Trump's 'slap in the face' announcement on key issue for Christian voters, Pence, a social conservative champion, claimed that Trump's abortion announcement was a 'retreat on the Right to Life';Fox News;1;1;1
Wisconsin becomes 28th state to pass a ban on ‘Zuckerbucks’ ahead of 2024 election, Wisconsin is now the 28th state to effectively ban 'Zuckerbucks';Fox News;1;0;1
ACLU threatens to sue Georgia over election bill conservatives praise as 'commonsense' reform, Georgia's elections bill could boost independent candidates like RFK Jr and make voter roll audits easier;Fox News;1;1;0
Top Trump VP prospect plans summer wedding weeks after GOP convention, Scott's planned wedding to fiancée Mindy Noce would take place soon after the Republican National Convention;Fox News;1;0;1
No Labels reaches out to a former GOP presidential candidate regarding their pending third-party ticket, Christie says in a podcast interview that 'I wouldn’t preclude anything at this point' when it comes to a possible third-party White House run;Fox News;1;1;1
Trump sweeps March 19 Republican presidential primaries, Biden-Trump November showdown is the first presidential election rematch since 1956;Fox News;1;0;0
Trump's endorsements hailed as 'most powerful...in modern political history' after victories in OH, IL, CA. Former President Trump helps boost Bernie Moreno to victory in an Ohio GOP Senate primary that pitted MAGA Republicans versus traditional conservatives;Fox News;1;1;1
Trump says Jewish Americans who vote for Biden don’t love Israel and ‘should be spoken to’;CNN;1;1;0
Elizabeth Warren suggests Israel’s actions in Gaza could be ruled as a genocide by international courts;CNN;1;1;0
FBI arrests man who allegedly pledged allegiance to ISIS and planned attacks on Idaho churches, DOJ says;CNN;1;0;0
Special counsel Jack Smith urges Supreme Court to reject Trump’s claim of immunity;CNN;1;1;1
British Foreign Secretary David Cameron meets with Trump ahead of DC visit, Tue April 9, 2024;CNN;1;0;0
Judge denies Trump’s request to postpone trial and consider venue change in hush money case;CNN;1;1;1
Byron Donalds, potential VP pick, once attacked Trump and praised outsourcing, privatizing entitlements;CNN;1;1;0
GOP nominee to run North Carolina public schools called for violence against Democrats, including executing Obama and Biden;CNN;1;1;0
Joe Biden promised to ‘absorb’ 2 million asylum seekers ‘in a heartbeat’ in 2019 - he now faces an immigration crisis;CNN;1;1;1
Likely frontrunner for RNC chair parroted Trump’s 2020 election lies;CNN;1;1;1
Ohio GOP Senate candidate endorsed by Trump deleted tweets critical of the former president;CNN;1;1;1
Trump defends former influencer convicted of election interference who has racist, antisemitic past;CNN;1;1;1
Biden Campaign Ad Blames Trump for Near-Death of Woman Who Was Denied Abortion, The ad encapsulates the strategy by the president’s campaign to seize on anger about the Supreme Court’s 2022 decision to overturn Roe v. Wade.;New York Times;1;1;0
Biden and Other Democrats Tie Trump to Limits on Abortion Rights, The former president said he supported leaving abortion decisions to states, but political opponents say he bears responsibility for any curbs enacted.;New York Times;1;1;1
Trump Allies Have a Plan to Hurt Biden’s Chances: Elevate Outsider Candidates, The more candidates in the race, the better for Donald J. Trump, supporters say. And in a tight presidential contest, a small share of voters could change the result.;New York Times;1;1;1
Biden touts proposed spending on ‘care economy’, President Biden announces a new plan for federal student loan relief during a visit to Madison, Wis., on Monday. (Kevin Lamarque/Reuters);The Washinngton Post;1;1;0
Biden and Trump share a faith in import tariffs, despite inflation risks, Both candidates’ trade plans focus on tariffs on imported Chinese goods even as economists warn they could lead to higher prices.;The Washinngton Post;1;1;0
Biden, as president and patriarch, confronts his son’s trial, Hunter Biden’s trial begins Monday on charges of lying on an official form when he bought a gun in 2018.;The Washinngton Post;1;1;0
Here’s what to know about the Hunter Biden trial that starts Monday, President Biden’s son Hunter is charged in federal court in Delaware with making false statements while buying a gun and illegally possessing that gun.;The Washinngton Post;1;1;0
Trump falsely claims he never called for Hillary Clinton to be locked up, “Lock her up” is perhaps one of the most popular chants among Trump supporters, and he agreed with it or explicitly called for her jailing on several occasions.;The Washinngton Post;1;1;0
4 takeaways from the aftermath of Trump’s guilty verdict, The country has entered a fraught phase. It’s already getting ugly, and that shows no sign of ceasing.;The Washinngton Post;1;1;0
Trump and allies step up suggestions of rigged trial — with bad evidence, And it’s not just the false claim that the jury doesn’t need to be unanimous about his crimes.;The Washinngton Post;1;1;0
In 2016, Trump derided favors for donors. Today, he wants to make a ‘deal.’ The former president derided the “favors” politicians did for campaign cash back then, but today he bargains with his own favors.;The Washinngton Post;1;1;0
Why a Trump lawyer’s prison reference was so ‘outrageous’, Trump lawyer Todd Blanche in his closing argument made a conspicuous reference to the jury sending Trump to prison. Not only are such things not allowed, but Blanche had been explicitly told not to say it.;The Washinngton Post;1;1;0
Pro-Palestinian college protests have not won hearts and minds, Many Americans see antisemitism in them.;The Washinngton Post;1;1;0
RNC co-chair Lara Trump attacks Hogan for calling for respect for legal process, In a CNN appearance, Lara Trump doesn’t commit to having the Republican National Committee give money to Hogan’s run for Senate after his comment on the verdict.;The Washinngton Post;1;1;0
After Trump’s conviction, many Republicans fall in line by criticizing trial, Rather than expressing confidence in the judicial system, many Republicans echo Trump’s criticisms and claims of political persecution over his hush money trial.;The Washinngton Post;1;1;0
News site editor’s ties to Iran, Russia show misinformation’s complexity, Hacked records show news outlets in Iran and Russia made payments to the same handful of U.S. residents.;The Washinngton Post;1;1;0
Dems weigh local ties, anti-Trump fame in primary for Spanberger seat, Eugene Vindman, known for the first Trump impeachment, faces several well-connected local officials in Virginia’s 7th Congressional District Democratic primary.;The Washinngton Post;1;1;0
For Hunter Biden, a dramatic day with his brother’s widow led to charges, Six years ago, Hallie Biden threw out a gun that prosecutors say Hunter Biden bought improperly. His trial starts Monday.;The Washinngton Post;1;1;0
Trump verdict vindicates N.Y. prosecutor who quietly pursued a risky path, Manhattan District Attorney Alvin Bragg made history with a legal case that federal prosecutors opted not to bring against former president Donald Trump.;The Washinngton Post;1;1;0
Democrats weigh tying GOP candidates to Trump’s hush money verdict, In 2018, when they rode a wave to the majority, House Democrats steered clear of Trump’s personal scandals in their campaigns. Now, they face the same dilemma.;The Washinngton Post;1;1;0
